ROW,COL,LAT,LON,FID,FID_Grilla,FECHA_INI,FECHA_FIN,AREA_m2,Dias
34.0,36.0,4.656898,-74.080956,129.0,2029.0,40725.0,41152.0,450.0,306.0
34.0,36.0,4.656898,-74.080956,130.0,2029.0,40787.0,41152.0,475.0,262.0
34.0,36.0,4.656898,-74.080956,131.0,2029.0,40695.0,41152.0,475.0,328.0
34.0,36.0,4.656898,-74.080956,132.0,2029.0,41030.0,41274.0,400.0,175.0
34.0,37.0,4.656898,-74.07196,133.0,2030.0,41061.0,41274.0,355.4,152.0
34.0,37.0,4.656898,-74.07196,134.0,2030.0,41061.0,41274.0,718.8,152.0
34.0,37.0,4.656898,-74.07196,135.0,2030.0,41030.0,41274.0,400.0,175.0
35.0,37.0,4.665855,-74.07196,136.0,3030.0,41061.0,41274.0,635.1,152.0
35.0,37.0,4.665855,-74.07196,137.0,3030.0,41061.0,41274.0,355.4,152.0
35.0,38.0,4.665855,-74.062965,138.0,3038.0,41153.0,41274.0,800.0,86.0
35.0,38.0,4.665855,-74.062965,139.0,3038.0,41153.0,41274.0,800.0,86.0
35.0,39.0,4.665855,-74.05397,140.0,3039.0,40909.0,41029.0,700.0,86.0
